name,mascot,city,state,primary_color,secondary_color,team_logo_image
Cleveland,Indians,Cleveland,TX,#FF0000,#FFFFFF,
Cleveland,Panthers,Cleveland,OK,#0B1F4D,#D4AF37,
Clifton,Cubs,Clifton,TX,#4CBB17,#FFFFFF,
Clint,Lions,Clint,TX,,,
Clinton,Red Tornadoes,Clinton,OK,,,
Clover,Blue Eagles,Clover,SC,#001F5B,#808080,
Clute Brazoswood,Buccaneers,,TX,,,
Clyde,Bulldogs,Clyde,TX,,,
Coahoma,Bulldogs,Coahoma,TX,,,
Coalgate,,,OK,,,
Coastal Christian,Badgers,Corpus Christi,TX,,,
Colcord,,,OK,,,
Coldspring-Oakhurst,Trojans,,TX,,,
Cole,Cougars,San Antonio,TX,,,
Coleman,Blue Cats,Coleman,TX,#0073cf,#FFFFFF,
College Park,Cavaliers,The Woodlands,TX,,,
College Station,Cougars,College Station,TX,#472A76,#C3C0F2,
Collegiate,Dolphins,Baton Rouge,LA,,,
Colleyville Heritage,Panthers,Colleyville,TX,,,
Collierville,Dragons,Collierville,TN,#7A1E2C,#FFFFFF,
Collins,Tigers,Klein,TX,,,
Collinsville,,,OK,,,
Collinsville,Pirates,Collinsville,TX,#06080C,#A7ACB7,
Colmesnell,Bulldogs,Colmesnell,TX,,,
Colorado City,Wolves,Colorado City,TX,,,
Colquitt County,Packers,Moultrie,GA,#000000,#FFD700,
Columbus,Cardinals,Columbus,TX,#FF0000,#FFFFFF,
Comanche,,,OK,,,
Comanche,Indians,Comanche,TX,#000000,#FFFFFF,
Comeaux,Spartans,Lafayette,LA,,,
Comfort,Bobcats,Comfort,TX,#007FFF,#CFB53B,
Commerce,,,OK,,,
Commerse ,Tigers,Commerce,TX,,,
Community Christian,,,OK,,,
Como-Pickton,Eagles,,TX,,,
Compass,Cougars,Odessa,TX,,,
Concordia Lutheran,Crusaders,Tomball,TX,,,
Connally,Cougars,Pflugerville,TX,,,
Connally,Cadets,Waco,TX,,,
Conrad,Chargers,Dallas,TX,,,
Conroe,Tigers,Conroe,TX,,,
Cooper,Cougars,Abilene,TX,#D21218,#0200AB,
Cooper,Bulldogs,Cooper,TX,,,
Cooper,Pirates,Lubbock,TX,#06050D,#707683,
Copan,,,OK,,,
Coppell,Cowboys,Coppell,TX,,,
Copperas Cove,Dawgs,Copperas Cove,TX,#0000FF,#CFB53B,
Cordell,,,OK,,,
Corn Bible Academy,,,OK,,,
Cornerstone,Warriors,San Antonio,TX,,,
Coronado,Thunderbirds,El Paso,TX,,,
Coronado,Mustangs,Lubbock,TX,,,
Corrigan-Camden,Bulldogs,,TX,,,
Corsicana,Tigers,Corsicana,TX,#4169E1,#FFD700,
Cotulla,Cowboys,Cotulla,TX,,,
Country Day,Falcons,Fort Worth,TX,,,
Covenant,Cougars,Colleyville,TX,,,
Covenant,Cougars,Conroe,TX,,,
Covenant,Knights,Dallas,TX,,,
Covenant Christian Academy,Lions,Houma,LA,,,
Covenant classical,Cavaliers,Fort Worth,TX,,,
Covington,Lions,Covington,LA,,,
Covington-Douglas,,,OK,,,
Coweta,Tigers,,OK,,,
Coyle,,,OK,,,
Crandall,Pirates,Crandall,TX,,,
Crane,Golden Cranes,Crane,TX,#e6e6fa,#D4AF37,
Cranfills Gap,Lions,Cranfills Gap,TX,,,
Crawford,Pirates,Crawford,TX,#000000,#B0B0B0,
Crawford,Chargers,Fort Bend,TX,,,
Creekview,Mustangs,Carrollton,TX,#03535B,#8E8D92,
Crescent,,,OK,,,
Crescent City Christian,Pioneers,Metairie,LA,,,
Crockett,Cougars,Austin,TX,#000000,#CCCC66,
Crockett,Bulldogs,Crockett,TX,,,
Crooked Oak,,,OK,,,
Crosby,Cougars,Crosby,TX,,,
Crosbyton,Chiefs,Crosbyton,TX,,,
Cross Plains,Buffaloes,Cross Plains,TX,,,
Cross Roads,Bobcats,Cross Roads,TX,,,
Crossings Christian,,,OK,,,
Crowell,Wildcats,Crowell,TX,,,
Crowley,Eagles,Crowley,TX,,,
Crystal CIty,Javelinas,Crystal City,TX,,,
Cuero,Gobblers,Cuero,TX,#4CBB17,#FFFFFF,
Cumby,Trojans,Cumby,TX,,,
Cushing,Tigers,,OK,,,
Cushing,Bearkats,Cushing,TX,,,
Cy Creek,Cougars,Cypress,TX,,,
Cy Falls,Golden Eagles,Cypress,TX,,,
Cy Lakes,Spartans,Cypress,TX,,,
Cy Park,Tigers,Cypress,TX,,,
Cy Ranch,Mustangs,Cypress,TX,,,
Cy Ridge,Rams,Cypress,TX,,,
Cy Springs,Panthers,Cypress,TX,,,
Cy Woods,Wildcats,Cypress,TX,,,
Cy-Fair,Bobcats,Cypress,TX,,,
Cyril,,,OK,,,
D'Harris,Cowboys,,TX,,,
Daingerfield,Tigers,Daingerfield,TX,,,
Dalhart,Golden Wolves,Dalhart,TX,,,
Danbury,Panthers,Danbury,TX,,,
Daniel Webster,,,OK,,,
Davenport,,,OK,,,
Davenport,Wolves,San Antonio,TX,#800000,#808080,
Davis,,,OK,,,
Davis,Falcons,Aldine,TX,#000080,#C8102E,
Dawson,Dragons,,TX,,,
Dawson,Bulldogs,Dawson,TX,,,
Dawson,Eagles,Pearland,TX,,,
Dayton,Broncos,Dayton,TX,,,
De La Salle,Cavaliers,New Orleans,LA,,,
De Leon,Bearcats,De Leon,TX,#800000,#FFFFFF,
Decatur,Eagles,Decatur,TX,#4169E1 ,#FFFFFF,
Deckerville,Eagles,Deckerville,MI,,,
Deer Creek,,,OK,,,
Deer Creek - Lamont,,,OK,,,
Deer Park,Deers,Deer Park,TX,#6F263D,#FFD101,
Dei City,Eagles,,OK,,,
Dekalb,Bears,DeKalb,TX,,,
Dekaney,Wildcats,Spring,TX,#0C286D,#9DA6CA,
Del City,,,OK,,,
Del Rio,Rams,Del Rio,TX,,,
Del Valle,Cardinals,Austin,TX,#BB4236,#19110C,
Del Valle,Conquistadors,El Paso,TX,,,
Delcambre,Tigers,Delcambre,LA,,,
Delhi,Bears,Delhi,LA,,,
Delhi Charter,Gators,Delhi,LA,,,
Denham Springs,Yellow Jackets,Denham Springs,LA,,,
Denison,Yellow Jackets,Denison,TX,,,
Denmark-Olar,Vikings,Denmark,SC,#C4D8E2,#C0C0C0,
Denton,,Denton,TX,,,
Denver City,Mustangs,Denver City,TX,,,
Depew,,,OK,,,
DeRidder,Dragons,DeRidder,LA,,,
DeSoto,Eagles,DeSoto,TX,#004B23,#C5B358,
